id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
189	Leonhard, Einsiedler von Limoges (6. Jh.)					Phil 3,8-14	2278	Ps 16,1-2.5.7-9.11	1474			Mt 13,44-46	2227			.	NULL	NULL
190	Willibrord, Bischof von Utrecht, Glaubensbote bei den Friesen (739)					1 Kor 1,18-25	2279	Ps 96,1-3.7-8.10	934			Mt 16,15-20	2612			.	NULL	NULL
191	WEIHETAG DER LATERANBASILIKA				11648	Ez 47,1-2.8-9.12	1831	|break|Ps 46,2-3.5-6.8-9	1322	|break|1 Kor 3,9c-11.16-17	2613	Joh 2,13-22	1833			.		NULL
192	Leo der Große, Papst, Kirchenlehrer (461)					Sir 39,6-10	2495	Ps 37,3-6.30-31	1475			Mt 16,13-19	2300			.	NULL	NULL
193	Martin, Bischof von Tours (397)					Jes 61,1-3	2311	Ps 89,2-3.20a.4-5.21-22.25.27	1481			Mt 25,31-40	2614			.	NULL	NULL
194	Josaphat, Bischof von Polozk in Weißrussland, Märtyrer (1623)					Eph 4,1-7.11-13	2393	Ps 1,1-4.6	1486			Joh 17,20-26	2302			.	NULL	NULL
195	Albert der Große, Ordensmann, Kirchenlehrer, Bischof von Regensburg (1280); Leopold, Markgraf von Österreich (1136)					Sir 15,1-6; Spr 3,13-20	2494; 2615	Ps 119,9-14; Ps 112,1-7.9	1343; 2642			Mt 13,47-52; Lk 19,12-26	2497; 2616			.	NULL	NULL
196	Margareta, Königin von Schottland (1093)					Jes 58,6-11	2547	Ps 112,1-7.9	2642			Joh 15,9-17	2617			.	NULL	NULL
197	Gertrud von Helfta, Ordensfrau, Mystikerin (1302)					Eph 3,14-19	2355	Ps 23	1246			Joh 15,1-8	465			.	NULL	NULL
198	Weihetag der Basiliken St. Peter und St. Paul zu Rom					Apg 28,11-16.30-31	2618	Ps 98,1.2-3b.3c-4.5-6	1480			Mt 14,22-33	261		evangelium+lesung	.	NULL	NULL
199	Elisabeth, Landgräfin von Thüringen (1231)					1 Joh 3,14-18	2289	Ps 34,2-11	1479			Lk 6,27-38	2139			.	NULL	NULL
200	Gedenktag Unserer Lieben Frau in Jerusalem					Sach 2,14-17	2356	Lk 1,46-55	1247			Mt 12,46-50	2054			.	NULL	NULL
201	Cäcilia, Jungfrau, Märtyrin in Rom (um 250)					Hos 2,16b.17b.21-22	401	Ps 45,11-12.14-17	1640			Mt 25,1-13	2105			.	NULL	NULL
202	Kolumban, Abt von Luxeuil und von Bobbio, Glaubensbote (615);Klemens I., Papst, Märtyrer (101)					Jes 52,7-10;  1 Petr 5,1-4	2593; 2619	Ps 96,1-3.7-8.10; Ps 89,2-3.20a.4-5.21-22.25.27	934; 1481			Lk 9,57-62; Mt 16,13-19	2190; 2300			.	NULL	NULL
