id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
500	22. SONNTAG IM JAHRESKREIS			Mt 11,29ab	11250	Sir 3,17-18.20.28-29	46	Ps 68,4-5b.6-7.10-11	1289	Hebr 12,18-19.22-24a	47	Lk 14,1.7-14	1796	C		.	148; 188; 378; 392; 396; 448; 553	55; 91; 146; 260
501	23. SONNTAG IM JAHRESKREIS				11135	Ez 33,7-9	277	Ps 95,1-2.6-7c.7d-9	948	Röm 13,8-10	278	Mt 18,15-20	279	A		.	81; 470; 472; 484; 487	30; 130; 202; 259
502	23. SONNTAG IM JAHRESKREIS				11195	Jes 35,4-7a	535	Ps 146,6-7.8-9a.9b-10	1290	|break|Jak 2,1-5	536	Mk 7,31-37	537	B		.	143; 386; 400; 416; 447; 437	89; 93; 242,2; 252
503	23. SONNTAG IM JAHRESKREIS			Ps 119 (118), 135	11251	Weish 9,13-19	49	Ps 90,3-4.5-6.12-13.14 u. 17	1277	Phlm 9b-10.12-17	50	Lk 14,25-33	51	C		.	170; 275; 375; 456; 457; 461; 657,6	43; 69; 76; 81; 267.1
504	24. SONNTAG IM JAHRESKREIS				11136	Sir 27,30 - 28,7	280	|break|Ps 103,1-2.3-4.9-10.12-13	1003	|break|Röm 14,7-9	281	Mt 18,21-35	1077	A		.	142; 273; 367; 458; 471	32; 109; 267.4
505	24. SONNTAG IM JAHRESKREIS				11196	Jes 50,5-9a	1709	Ps 116,1-2.3-4.5-6.8-9	1291	Jak 2,14-18	539	Mk 8,27-35	540	B		.	270; 355; 361,1-3; 436; 448; 451	55; 199; 270; 274
506	24. SONNTAG IM JAHRESKREIS				11252	Ex 32,7-11.13-14	52	Ps 51,3-4.12-13.17 u. 19	1292	1 Tim 1,12-17	53	Lk 15,1-32	54	C		.	266; 272; 277; 355; 361; 366; 447	45; 242.2; 259; 269; 272; 274
507	25. SONNTAG IM JAHRESKREIS				11137	Jes 55,6-9	283	Ps 145,2-3.8-9.17-18	1293	Phil 1,20ad-24.27a	284	Mt 20,1-16	285	A		.	144, 5-7; 382; 416; 427; 429	48; 65
508	25. SONNTAG IM JAHRESKREIS				11197	Weish 2,1a.12.17-20	541	|break|Ps 54,3-4.5-6.8-9	1294	Jak 3,16 - 4,3	1710	|break|Mk 9,30-37	543	B		.	103; 359; 370; 434; 470; 552	102; 109; 113; 130
509	25. SONNTAG IM JAHRESKREIS				11253	Am 8,4-7	55	Ps 113,1-2.4-5.6-7.8-9	1295	1 Tim 2,1-8	56	Lk 16,1-13	57	C		.	103; 418; 422; 423; 428; 440	25; 30; 53; 104; 238
510	26. SONNTAG IM JAHRESKREIS				11138	Ez 18,25-28	286	Ps 25,4-5.6-7.8-9	1296	|break|Phil 2,1-11	287	Mt 21,28-32	288	A		.	358, 3-5; 446; 455; 456; 543	56; 193
511	26. SONNTAG IM JAHRESKREIS				11198	Num 11,25-29	544	Ps 19,8.10.12-13.14	1297	Jak 5,1-6	545	Mk 9,38-43.45.47-48	546	B		.	149; 367; 428; 447; 450; 469	41; 135 ;242,2; 268
512	26. SONNTAG IM JAHRESKREIS				11252	Am 6,1a.4-7	58	Ps 146,6-7.8-9a.9b-10	1290	1 Tim 6,11-16	59	Lk 16,19-31	1799	C		.	147; 436; 449; 455; 458; 459; 474	47; 50; 51; 67; 70
513	27. SONNTAG IM JAHRESKREIS				11139	Jes 5,1-7	668	Ps 80,9 u. 12.13-14.15-16.19-20	1298	Phil 4,6-9	290	Mt 21,33-42.44.43	291	A		.	427; 429; 477; 481	133; 134; 267.3
514	27. SONNTAG IM JAHRESKREIS				11199	Gen 2,18-24	1711	Ps 128,1-2.3.4-6	2675	Hebr 2,9-11	548	Mk 10,2-16	549	B		.	145; 381; 403; 417; 442; 452	60; 70; 117; 248; 263
515	27. SONNTAG IM JAHRESKREIS				11255	Hab 1,2-3; 2,2-4	61	Ps 95,1-2.6-7c.7d-9	948	2 Tim 1,6-8.13-14	62	Lk 17,5-10	63	C		.	149; 211; 450; 457; 463; 489	41; 43; 59; 64; 136; 272
516	28. SONNTAG IM JAHRESKREIS				11140	Jes 25,6-10a	567	Ps 23,1-3.4.5.6	773	|break|Phil 4,12-14.19-20	293	Mt 22,1-14	294	A		.	216; 225; 549; 552; 554, 1-2	198; 231
517	28. SONNTAG IM JAHRESKREIS				11200	Weish 7,7-11	551	Ps 90,12-13.14-15.16-17	1299	Hebr 4,12-13	1713	Mk 10,17-30	1714	B		.	81; 360; 365; 435; 455; 461	98; 103; 123; 267,3
518	28. SONNTAG IM JAHRESKREIS				11256	2 Kön 5,14-17	64	Ps 98,1.2-3b.3c-4	1300	2 Tim 2,8-13	65	Lk 17,11-19	66	C		.	323; 358; 393; 394; 416; 434; 551	28; 96/97; 135; 240
519	29. SONNTAG IM JAHRESKREIS				11141	Jes 45,1.4-6	296	Ps 96,1 u. 3.4-5.7-8.9 u. 10abd	1301	1 Thess 1,1-5b	297	Mt 22,15-21	298	A		.	365; 392; 405; 467; 551	78; 103; 242.2
520	29. SONNTAG IM JAHRESKREIS				11201	Jes 53,10-11	555	Ps 33,4-5.18-20 u. 22	1062	Hebr 4,14-16	1716	Mk 10,35-45	557	B		.	292; 358; 371; 449; 479; 551	23; 69; 96/97; 124
521	29. SONNTAG IM JAHRESKREIS				11257	Ex 17,8-13	67	Ps 121,1-2.3-4.5-6.7-8	1302	2 Tim 3,14 - 4,2	68	Lk 18,1-8	69	C		.	162; 354; 355; 377; 386; 439; 471	74; 247; 267.7; 274
522	30. SONNTAG IM JAHRESKREIS				11142	Ex 22,20-26	299	Ps 18,2-3.4 u. 47.51 u. 50	1303	1 Thess 1,5c-10	300	Mt 22,34-40	301	A		.	148; 381; 414; 483; 491	132; 146; 272
523	30. SONNTAG IM JAHRESKREIS				11202	Jer 31,7-9	1717	Ps 126,1-2b.2c-3.4-5.6	1191	|break|Hebr 5,1-6	559	Mk 10,46b-52	560	B		.	395; 422; 436; 439; 471; 549	104; 145; 234; 238
524	30. SONNTAG IM JAHRESKREIS				11252	Sir 35,15b-17.20-22a	70	Ps 34,2-3.17-18.19 u. 23	1304	2 Tim 4,6-8,16-18	71	Lk 18,9-14	72	C		.	143; 387; 395; 424; 466; 534; 543; 657,6	54; 80; 81; 102; 145
525	31. SONNTAG IM JAHRESKREIS				11143	Mal 1,14b - 2,2b.8-10	302	Ps 131,1.2-3	1305	1 Thess 2,7b-9.13	303	Mt 23,1-12	304	A		.	272; 387; 425; 457	43; 259
526	31. SONNTAG IM JAHRESKREIS				11203	Dtn 6,1ab.2-6	580	Ps 18,2-3.4 u. 47.51 u. 50	1303	Hebr 7,23-28	1719	Mk 12,28-34	1720	B		.	367; 400; 418; 424; 445; 453	131; 232; 252; 255
527	31. SONNTAG IM JAHRESKREIS				11259	Weish 11,22 - 12,2	73	Ps 145,1-2.8-9.10-11.13c-14	1306	2 Thess 1,11 - 2,2	74	Lk 19,1-10	75	C		.	268; 275; 368; 446; 447; 452; 460	52; 56; 68; 83; 195.2; 242.2
528	32. SONNTAG IM JAHRESKREIS				11144	Weish 6,12-16	323	Ps 63,2.3-4.5-6.7-8	1307	1 Thess 4,13-18	329	Mt 25,1-13	327	A		.	103; 233; 417; 549; 656	45; 267.4; 268
529	32. SONNTAG IM JAHRESKREIS				11204	1 Kön 17,10-16	583	Ps 146,6-7.8-9a.9b-10	1290	Hebr 9,24-28	1721	Mk 12,38-44	585	B		.	392; 396; 416; 458; 459; 472	30; 50/51; 66; 260
530	32. SONNTAG IM JAHRESKREIS				11260	2 Makk 7,1-2.7a.9-14|break|	80	Ps 17,1 u. 3c-4.5-6.8 u. 15	1308	2 Thess 2,16 - 3,5	81	Lk 20,27-38	82	C		.	84; 210; 336; 413; 417; 498; 502	197; 201; 254; 255; 261
531	33. SONNTAG IM JAHRESKREIS				11145	Spr 31,10-13.19-20.30-31	328	Ps 128,1-2.3.4-5	12373	1 Thess 5,1-6	330	Mt 25,14-30	331	A		.	396; 440; 481; 543; 551	53; 133; 254
532	33. SONNTAG IM JAHRESKREIS				11205	Dan 12,1-3	587	Ps 16,5 u. 8.9-10.2 u. 11	1148	Hebr 10,11-14.18	1722	Mk 13,24-32	589	B		.	103; 359; 429; 549; 553; 657,6	81; 112; 251; 267,2
533	33. SONNTAG IM JAHRESKREIS				11261	Mal 3,19-20b	1801	Ps 98,5-6.7-8.9	1309	2 Thess 3,7-12	83	Lk 21,5-19	84	C		.	95; 403; 429; 451; 481; 549; 553	107; 109; 123; 133; 199
534	34. SONNTAG IM JAHRESKREIS				11146	Ez 34,11-12.15-17	333	Ps 23	1246	1 Kor 15,20-26.28	334	Mt 25,31-46	335	A		.	360; 370; 375; 392; 394; 474	47; 74; 245.1; 260
535	34. SONNTAG IM JAHRESKREIS				11206	Dan 7,2a.13b-14	520	Ps 93	1006	Offb 1,5b-8	591	Joh 18,33b-37	592	B		.	360; 370; 375; 392; 394; 474	47; 179; 243,4; 267,1; 260
536	34. SONNTAG IM JAHRESKREIS				11262	2 Sam 5,1-3	85	Ps 122,1-3.4-5	1250	Kol 1,12-20	86	Lk 23,35b-43	87	C		.	360; 370; 375; 380; 386; 388; 392	74; 117; 179; 193; 260
537	Wochentag (1. Woche)		Mo			Hebr 1,1-6	361	Ps 97,1-2.6-7.9 u. 12	901			Mk 1,14-20	409	I		.	NULL	NULL
538	Wochentag (1. Woche)		Mo			1 Sam 1,1-8	902	Ps 116,12-13.14-15.18-19	903			Mk 1,14-20	409	II		.	NULL	NULL
539	Wochentag (1. Woche)		Di			Hebr 2,5-12	904	Ps 8,2 u. 5.6-7.8-9	905			|break|Mk 1,21-28	391	I		.	NULL	NULL
540	Wochentag (1. Woche)		Di			1 Sam 1,9-20	906	1 Sam 2,1bcde.4-5b.6-8abcd	836			Mk 1,21-28	391	II		.	NULL	NULL
541	Wochentag (1. Woche)		Mi			Hebr 2,11-12.13c-18	907	|break|Ps 105,1-2.3-4.6-7.8-9	908			|break|Mk 1,29-39	394	I		.	NULL	NULL
542	Wochentag (1. Woche)		Mi			1 Sam 3,1-10.19-20	909	Ps 40,2 u. 4ab.7-8.9-10	912			Mk 1,29-39	394	II		.	NULL	NULL
543	Wochentag (1. Woche)		Do			Hebr 3,7-14	913	Ps 95,6-7b.7c-9.10-11	914			|break|Mk 1,40-45	397	I		.	NULL	NULL
544	Wochentag (1. Woche)		Do			1 Sam 4,1b-11	1808	Ps 44,10-11.14-15.24-25	1284			Mk 1,40-45	397	II		.	NULL	NULL
545	Wochentag (1. Woche)		Fr			Hebr 4,1-5.11	915	Ps 78,3 u. 4cd.6c-7.8	916			Mk 2,1-12	400	I		.	NULL	NULL
546	Wochentag (1. Woche)		Fr			1 Sam 8,4-7.10-22a	1809	Ps 89,16-17.18-19	1285			Mk 2,1-12	400	II		.	NULL	NULL
547	Wochentag (1. Woche)		Sa			Hebr 4,12-16	556	Ps 19,8.9.10.11 u. 15	917			Mk 2,13-17	918	I		.	NULL	NULL
548	Wochentag (1. Woche)		Sa			1 Sam 9,1-4.17-19; 10,1	1810	Ps 21,2-3.4-5.6-7	1286			Mk 2,13-17	918	II		.	NULL	NULL
549	Wochentag (2. Woche)		Mo			Hebr 5,1-10	919	Ps 110,1-2.3.4-5	920			|break|Mk 2,18-22	403	I		.	NULL	NULL
550	Wochentag (2. Woche)		Mo			1 Sam 15,16-23	1811	Ps 50,8-9.16b-17.21 u. 23	1055			Mk 2,18-22	403	II		.	NULL	NULL
551	Wochentag (2. Woche)		Di			Hebr 6,10-20	921	|break|Ps 111,1-2.4-5.9 u. 10c	922			Mk 2,23-28	765	I		.	NULL	NULL
552	Wochentag (2. Woche)		Di			1 Sam 16,1-13	1812	Ps 89,20-21.22 u. 29.27-28	1287			Mk 2,23-28	765	II		.	NULL	NULL
553	Wochentag (2. Woche)		Mi			Hebr 7,1-3.15-17	923	Ps 110,1-2.3.4-5	920			Mk 3,1-6	924	I		.	NULL	NULL
554	Wochentag (2. Woche)		Mi			1 Sam 17,32-33.37.40-51|break|	1813	Ps 144,1-2c.9-10	1288			Mk 3,1-6	924	II		.	NULL	NULL
555	Wochentag (2. Woche)		Do			Hebr 7,25 - 8,6	581	Ps 40,2 u. 4ab.7-8.9-10	912			Mk 3,7-12	925	I		.	NULL	NULL
556	Wochentag (2. Woche)		Do			1 Sam 18,6-9; 19,1-7	1814	Ps 56,2-3.9-10a.10b-11.12-13	1330			Mk 3,7-12	925	II		.	NULL	NULL
557	Wochentag (2. Woche)		Fr			Hebr 8,6-13	926	Ps 85,8 u. 10.11-12.13-14	927			Mk 3,13-19	928	I		.	NULL	NULL
558	Wochentag (2. Woche)		Fr			1 Sam 24,3-21	1815	Ps 57,2.3-4.6 u. 11	1331			Mk 3,13-19	928	II		.	NULL	NULL
559	Wochentag (2. Woche)		Sa			Hebr 9,2-3.11-14	929	Ps 47,2-3.6-7.8-9	930			Mk 3,20-21	931	I		.	NULL	NULL
560	Wochentag (2. Woche)		Sa			2 Sam 1,1-4.11-12.17.19.23-27	1816	Ps 80,2 u. 3bc.4-5.6-7	1332			Mk 3,20-21	931	II		.	NULL	NULL
561	Wochentag (3. Woche)		Mo			Hebr 9,15.24-28	584	Ps 98,1.2-3b.3c-4.5-6	936			Mk 3,22-30	937	I		.	NULL	NULL
562	Wochentag (3. Woche)		Mo			2 Sam 5,1-7.10	1817	Ps 89,20-21.22 u. 25.26 u. 29	1333			Mk 3,22-30	937	II		.	NULL	NULL
563	Wochentag (3. Woche)		Di			Hebr 10,1-10	603	Ps 40,2 u. 4ab.7-8.9-10	912			Mk 3,31-35	938	I		.	NULL	NULL
564	Wochentag (3. Woche)		Di			2 Sam 6,12b-15.17-19	1818	Ps 24,7-8.9-10	950			Mk 3,31-35	938	II		.	NULL	NULL
565	Wochentag (3. Woche)		Mi			Hebr 10,11-18	588	Ps 110,1-2.3.4-5	920			Mk 4,1-20	939	I		.	NULL	NULL
566	Wochentag (3. Woche)		Mi			2 Sam 7,4-17	1819	Ps 89,4-5.27-30	1334			Mk 4,1-20	939	II		.	NULL	NULL
567	Wochentag (3. Woche)		Do			Hebr 10,19-25	940	Ps 24,1-2.3-4.5-6	941			Mk 4,21-25	942	I		.	NULL	NULL
568	Wochentag (3. Woche)		Do			2 Sam 7,18-19.24-29	1844	Ps 132,1-2.3 u. 5.11.12.13-14	1335			Mk 4,21-25	942	II		.	NULL	NULL
569	Wochentag (3. Woche)		Fr			Hebr 10,32-39	943	|break|Ps 37,3-4.5-6.23-24.39-40b	944			|break|Mk 4,26-34	500	I		.	NULL	NULL
570	Wochentag (3. Woche)		Fr			2 Sam 11,1-4a.c.5-10a.13-17	1845	Ps 51,3-4.5-6b.6c-7.10-11	1336			Mk 4,26-34	500	II		.	NULL	NULL
571	Wochentag (3. Woche)		Sa			Hebr 11,1-2.8-19	35	Lk 1,68-69.70-71.72-73.74-75	945			Mk 4,35-41	503	I		.	NULL	NULL
572	Wochentag (3. Woche)		Sa			2 Sam 12,1-7a.10-17	1847	Ps 51,12-13.14-15.16-17	1337			Mk 4,35-41	503	II		.	NULL	NULL
573	Wochentag (4. Woche)		Mo			Hebr 11,32-40	946	Ps 31,20.21.22-23b.23c-24	955			Mk 5,1-20	956	I		.	NULL	NULL
574	Wochentag (4. Woche)		Mo			2 Sam 15,13-14.30; 16,5-13a	1846	Ps 3,2-3.4-5.6-7	1338			Mk 5,1-20	956	II		.	NULL	NULL
575	Wochentag (4. Woche)		Di			Hebr 12,1-4	953	Ps 22,26-27.28 u. 30ab.30c-32	954			Mk 5,21-43	506	I		.	NULL	NULL
576	Wochentag (4. Woche)		Di			2 Sam 18,6.9-10.14b.24-25a.30 - 19,3	1848	Ps 86,1-2.3-4.5-6	1339			Mk 5,21-43	506	II		.	NULL	NULL
577	Wochentag (4. Woche)		Mi			Hebr 12,4-7.11-15	958	|break|Ps 103,1-2.13-14.17-18a	959			|break|Mk 6,1b-6	509	I		.	NULL	NULL
578	Wochentag (4. Woche)		Mi			2 Sam 24,2.9-17	1849	Ps 32,1-2.5-7	1340			Mk 6,1b-6	509	II		.	NULL	NULL
579	Wochentag (4. Woche)		Do			Hebr 12,18-19.21-24	960	|break|Ps 48,2-3b.3c-4.9.10-11	961			Mk 6,7-13	513	I		.	NULL	NULL
580	Wochentag (4. Woche)		Do			1 Kön 2,1-4.10-12	1850	1 Chr 29,10b-11a.11b-12a.12b-13	1341			Mk 6,7-13	513	II		.	NULL	NULL
581	Wochentag (4. Woche)		Fr			Hebr 13,1-8	962	Ps 27,1.3.5.7-8	963			Mk 6,14-29	964	I		.	NULL	NULL
582	Wochentag (4. Woche)		Fr			Sir 47,2-11	1851	Ps 18,31 u. 47.48-49.50-51	1342			Mk 6,14-29	964	II		.	NULL	NULL
583	Wochentag (4. Woche)		Sa			Hebr 13,15-17.20-21	965	Ps 23,1-3.4.5.6	1246			Mk 6,30-34	516	I		.	NULL	NULL
584	Wochentag (4. Woche)		Sa			1 Kön 3,4-13	1852	Ps 119,9-10.11-12.13-14	1343			Mk 6,30-34	516	II		.	NULL	NULL
585	Wochentag (5. Woche)		Mo			Gen 1,1-19	969	|break|Ps 104,1-2a.5-6.10 u. 12.24 u. 35abc	970			|break|Mk 6,53-56	971	I		.	NULL	NULL
586	Wochentag (5. Woche)		Mo			1 Kön 8,1-7.9-13	1853	Ps 132,6-7.8-9.10 u. 13	1344			Mk 6,53-56	971	II		.	NULL	NULL
587	Wochentag (5. Woche)		Di			Gen 1,20 - 2,4a	972	Ps 8,4-5.6-7.8-9	973			|break|Mk 7,1-13	974	I		.	NULL	NULL
588	Wochentag (5. Woche)		Di			1 Kön 8,22-23.27-30	1854	Ps 84,3.4.5 u. 10.11	1345			Mk 7,1-13	974	II		.	NULL	NULL
589	Wochentag (5. Woche)		Mi			Gen 2,4b-9.15-17	975	|break|Ps 104,1-2.27-28.29b-30	976			|break|Mk 7,14-23	977	I		.	NULL	NULL
590	Wochentag (5. Woche)		Mi			1 Kön 10,1-10	1855	Ps 37,5-6.30-31.39-40b	1346			Mk 7,14-23	977	II		.	NULL	NULL
591	Wochentag (5. Woche)		Do			Gen 2,18-25	547	Ps 128,1-2.3.4-5	862			Mk 7,24-30	978	I		.	NULL	NULL
592	Wochentag (5. Woche)		Do			1 Kön 11,4-13	1856	Ps 106,3-4.35-36.37 u. 40	1347			Mk 7,24-30	978	II		.	NULL	NULL
593	Wochentag (5. Woche)		Fr			Gen 3,1-8	979	Ps 32,1-2.5.6-7	980			Mk 7,31-37	537	I		.	NULL	NULL
594	Wochentag (5. Woche)		Fr			1 Kön 11,29-32;12,19	1857	Ps 81,10-11b.12-13.14-15	1348			Mk 7,31-37	537	II		.	NULL	NULL
595	Wochentag (5. Woche)		Sa			Gen 3,9-24	983	Ps 90,1-2.3-4.5-6.12-13	984			Mk 8,1-10	985	I		.	NULL	NULL
596	Wochentag (5. Woche)		Sa			1 Kön 12,26-32; 13,33-34	1858	Ps 106,6-7b.19-20.21-22	1349			Mk 8,1-10	985	II		.	NULL	NULL
597	Wochentag (6. Woche)		Mo			Gen 4,1-15.25	989	|break|Ps 50,1 u. 8.16b-17.20-21	990			|break|Mk 8,11-13	991	I		.	NULL	NULL
598	Wochentag (6. Woche)		Mo			Jak 1,1-11	1859	Ps 119,67-68.71-72.75-76	1361			Mk 8,11-13	991	II		.	NULL	NULL
599	Wochentag (6. Woche)		Di			Gen 6,5-8;7,1-5.10	992	|break|Ps 29,1-2.3ac-4.3b u. 9b-10	910			Mk 8,14-21	993	I		.	NULL	NULL
600	Wochentag (6. Woche)		Di			Jak 1,12-18	1860	Ps 94,12-13.14-15.18-19	1362			Mk 8,14-21	993	II		.	NULL	NULL
601	Wochentag (6. Woche)		Mi			Gen 8,6-13.15-16a.18a.20-22	994	Ps 116,12-13.14-15	903			Mk 8,22-26	995	I		.	NULL	NULL
602	Wochentag (6. Woche)		Mi			Jak 1,19-27	1861	Ps 15,2-3.4.5	1363			Mk 8,22-26	995	II		.	NULL	NULL
603	Wochentag (6. Woche)		Do			Gen 9,1-13	996	Ps 102,16-17.18-19.20-21.29 u. 22	997			Mk 8,27-33	998	I		.	NULL	NULL
604	Wochentag (6. Woche)		Do			Jak 2,1-9	1862	Ps 34,2-3.4-5.6-7	1364			Mk 8,27-33	998	II		.	NULL	NULL
605	Wochentag (6. Woche)		Fr			Gen 11,1-9	477	Ps 33,10-15	999			|break|Mk 8,34 - 9,1	1000	I		.	NULL	NULL
606	Wochentag (6. Woche)		Fr			Jak 2,14-24.26	1863	Ps 112,1-2.3-4.5-6	1365			Mk 8,34 - 9,1	1000	II		.	NULL	NULL
607	Wochentag (6. Woche)		Sa			Hebr 11,1-7	1001	Ps 145,2-3.4-5.10-11	1002			Mk 9,2-13	522	I		.	NULL	NULL
608	Wochentag (6. Woche)		Sa			Jak 3,1-10	1864	Ps 12,2-5.7-8	1366			Mk 9,2-13	522	II		.	NULL	NULL
609	Wochentag (7. Woche)		Mo			Sir 1,1-10	1005	Ps 93,1.2-3.4-5	1006			Mk 9,14-29	1007	I		.	NULL	NULL
610	Wochentag (7. Woche)		Mo			Jak 3,13-18	1865	Ps 19,8.9.10.12. u. 15	1367			Mk 9,14-29	1007	II		.	NULL	NULL
611	Wochentag (7. Woche)		Di			Sir 2,1-11	1008	|break|Ps 37,3-4.18-19.27-28b.39-40b	1009			|break|Mk 9,30-37	543	I		.	NULL	NULL
612	Wochentag (7. Woche)		Di			Jak 4,1-10	542	Ps 55,7-10.17.23	1368			Mk 9,30-37	543	II		.	NULL	NULL
613	Wochentag (7. Woche)		Mi			Sir 4,11-19	1011	Ps 119,165 u. 168.171-172.174-175	1012			Mk 9,38-40	1013	I		.	NULL	NULL
614	Wochentag (7. Woche)		Mi			Jak 4,13-17	1866	Ps 49,2-3.6-7.8-9.10 u. 13a	1372			Mk 9,38-40	1013	II		.	NULL	NULL
615	Wochentag (7. Woche)		Do			Sir 5,1-8	1014	Ps 1,1-2.3.4 u. 6	1015			Mk 9,41-50	1016	I		.	NULL	NULL
616	Wochentag (7. Woche)		Do			Jak 5,1-6	1867	Ps 49,14-20	1373			Mk 9,41-50	1016	II		.	NULL	NULL
617	Wochentag (7. Woche)		Fr			Sir 6,5-17	1020	Ps 119,12 u. 16.18 u. 27.34-35	1021			Mk 10,1-12	1018	I		.	NULL	NULL
618	Wochentag (7. Woche)		Fr			Jak 5,9-12	1868	|break|Ps 103,1-2.3-4.8-9.11-12|break|	1017			Mk 10,1-12	1018	II		.	NULL	NULL
619	Wochentag (7. Woche)		Sa			Sir 17,1-4.6-15	1019	Ps 103,13-14.15-16.17-18a	1022			Mk 10,13-16	1023	I		.	NULL	NULL
620	Wochentag (7. Woche)		Sa			Jak 5,13-20	1869	Ps 141,1-2.3 u. 8	1374			Mk 10,13-16	1023	II		.	NULL	NULL
621	Wochentag (8. Woche)		Mo			Sir 17,24-29	1870	Ps 32,1-2.5.6-7	1375			Mk 10,17-27	1715	I		.	NULL	NULL
622	Wochentag (8. Woche)		Mo			1 Petr 1,3-9	1871	Ps 111,1-2.5-6.9 u. 10c	1376			Mk 10,17-27	1715	II		.	NULL	NULL
623	Wochentag (8. Woche)		Di			Sir 35,1-15	1872	Ps 50,5-6.7-8.14 u. 23	1377			Mk 10,28-31	1874	I		.	NULL	NULL
624	Wochentag (8. Woche)		Di			1 Petr 1,10-16	1873	Ps 98,1.2-3b.3c-4	1300			Mk 10,28-31	1874	II		.	NULL	NULL
625	Wochentag (8. Woche)		Mi			Sir 36,1-2.5-6.13.16-22	1875	Ps 79,5 u. 8.9.11 u. 13	1378			Mk 10,32-45	1877	I		.	NULL	NULL
626	Wochentag (8. Woche)		Mi			1 Petr 1,18-25	1876	Ps 147,12-15.19-20	896			Mk 10,32-45	1877	II		.	NULL	NULL
627	Wochentag (8. Woche)		Do			Sir 42,15-25	1878	Ps 33,2-3.4-5.6-7.8-9	1379			Mk 10,46b-52	560	I		.	NULL	NULL
628	Wochentag (8. Woche)		Do			1 Petr 2,2-5.9-12	1879	Ps 100,2-5	1380			Mk 10,46b-52	560	II		.	NULL	NULL
629	Wochentag (8. Woche)		Fr			Sir 44,1.9-13	1881	Ps 149,1-2.3-4.5-6a u. 9b	884			Mk 11,11-25	1883	I		.	NULL	NULL
630	Wochentag (8. Woche)		Fr			1 Petr 4,7-13	1882	Ps 96,10-13b	1382			Mk 11,11-25	1883	II		.	NULL	NULL
631	Wochentag (8. Woche)		Sa			Sir 51,12c-20	1884	Ps 19,8.9.10	1383			Mk 11,27-33	1886	I		.	NULL	NULL
632	Wochentag (8. Woche)		Sa			Jud 17.20b-25	1885	Ps 63,2-6	1384			Mk 11,27-33	1886	II		.	NULL	NULL
633	Wochentag (9. Woche)		Mo			Tob 1,3;2,1b-8	1887	Ps 112,1-2.3-4.5-6	1385			Mk 12,1-12	1890	I		.	NULL	NULL
634	Wochentag (9. Woche)		Mo			2 Petr 1,2-7	1889	Ps 91,1-2.14-16	1386			Mk 12,1-12	1890	II		.	NULL	NULL
635	Wochentag (9. Woche)		Di			Tob 2,9-14	1891	Ps 112,1-2.6-7.8-9	1387			Mk 12,13-17	1893	I		.	NULL	NULL
636	Wochentag (9. Woche)		Di			2 Petr 3,12-15a.17-18	1892	Ps 90,1-4.14.16	1388			Mk 12,13-17	1893	II		.	NULL	NULL
637	Wochentag (9. Woche)		Mi			Tob 3,1-11a,16-17a	1894	|break|Ps 25,1-2.3-4.5-6.8-9	1389			Mk 12,18-27	1352	I		.	NULL	NULL
638	Wochentag (9. Woche)		Mi			2 Tim 1,1-3.6-12	1350	Ps 123,2	1351			Mk 12,18-27	1352	II		.	NULL	NULL
639	Wochentag (9. Woche)		Do			Tob 6,10-11;7,1.8-17;8,4-9	1895	Ps 128,1-5	1390			Mk 12,28b-34	1897	I		.	NULL	NULL
640	Wochentag (9. Woche)		Do			2 Tim 2,8-15	1896	Ps 25,4-5.8-10.14	1391			Mk 12,28b-34	1897	II		.	NULL	NULL
641	Wochentag (9. Woche)		Fr			Tob 11,5-17	1898	Ps 146,1-2 u. 7.8-9b.9c-10	1392			Mk 12,35-37	1357	I		.	NULL	NULL
642	Wochentag (9. Woche)		Fr			2 Tim 3,10-17	1354	Ps 119,157.160-|break|161.165-166.168	1355			Mk 12,35-37	1357	II		.	NULL	NULL
643	Wochentag (9. Woche)		Sa			Tob 12,1.5-15.20	1899	Tob 13,2.6-8	1393			Mk 12,38-44	585	I		.	NULL	NULL
644	Wochentag (9. Woche)		Sa			2 Tim 4,1-8	1356	Ps 71,8-9.14-17.22	1358			Mk 12,38-44	585	II		.	NULL	NULL
645	Wochentag (10. Woche)		Mo			2 Kor 1,1-7	1911	Ps 34,2-3.4-5.6-7.8-9	1278			Mt 5,1-12	1913	I		.	NULL	NULL
646	Wochentag (10. Woche)		Mo			1 Kön 17,1-6	1912	Ps 121,1-2.3-4.5-6.7-8	1302			Mt 5,1-12	1913	II		.	NULL	NULL
647	Wochentag (10. Woche)		Di			2 Kor 1,18-22	399	|break|Ps 119,129-130.131-132.133 u. 135	1394			Mt 5,13-16	138	I		.	NULL	NULL
648	Wochentag (10. Woche)		Di			1 Kön 17,7-16	1914	Ps 4,2.3-4.7-8	1395			Mt 5,13-16	138	II		.	NULL	NULL
649	Wochentag (10. Woche)		Mi			2 Kor 3,4-11	1915	|break|Ps 99,4b-5.6-7.8-9	1396			Mt 5,17-19	1917	I		.	NULL	NULL
650	Wochentag (10. Woche)		Mi			1 Kön 18,20-39	1916	Ps 16,1-2 u. 4.5 u. 8.9 u. 11	1397			Mt 5,17-19	1917	II		.	NULL	NULL
